ID_STACKED_BLOCK,X,Y
1,-27.0,112.0
2,-93.0,33.0
3,-88.0,35.0
4,-74.0,40.0
5,-61.0,45.5
6,-50.5,49.5
7,-33.5,57.5
8,-9.5,69.0
9,7.0,76.5
10,45.0,94.0
11,80.5,110.0
12,-133.0,21.0
13,-97.0,19.0
14,-84.0,22.5
15,-65.5,29.5
16,-47.5,36.5
17,-25.0,47.0
18,-5.0,56.0
19,13.5,64.5
20,50.0,81.5
21,87.0,97.5
22,-114.5,-8.0
23,-90.5,8.0
24,-56.0,33.0
25,-51.0,22.0
26,-46.5,11.0
27,-39.0,16.0
28,-39.5,-4.0
29,-32.0,0.0
30,-39.0,-11.0
31,6.5,52.0
32,65.5,74.5
33,73.5,56.5
34,-117.5,-32.0
35,-86.5,-35.5
36,-75.0,-31.5
37,-55.5,-23.0
38,-26.0,-10.0
39,-9.0,-2.5
40,6.5,4.5
41,29.5,15.0
42,53.0,26.0
43,67.5,32.5
44,83.0,39.0
45,120.5,56.5
46,-121.0,-56.5
47,-96.5,-59.5
48,-77.0,-59.0
49,-59.5,-51.5
50,-45.5,-45.0
51,-24.5,-19.5
52,-31.0,-23.5
53,-24.5,-38.0
54,-20.0,-30.5
55,-11.0,-50.0
56,38.0,5.5
57,74.0,22.0
58,63.0,0.5
59,50.5,-22.5
60,88.5,-6.0
61,31.0,0.0
62,39.5,-20.0
63,92.5,20.0
64,100.5,3.5
65,-83.0,-94.0
66,-49.5,-78.5
67,-10.0,-59.5
68,1.0,-54.0
69,26.0,-43.0
70,46.5,-33.5
71,66.5,-24.5
72,82.0,-17.5
73,98.5,-9.5
74,56.5,-54.5
75,109.0,-17.5
76,116.0,-30.5
77,5.0,-94.0
78,45.5,-86.5
79,81.5,-69.5
80,125.0,-49.5
